name,addr_street,addr_housenumber,addr_postcode,addr_city,addr_country,latitude,longitude,website_url,website_effective_url,website_http_status,website_is_valid,website_discovery_method,menu_url,menu_http_status,menu_is_valid,menu_discovery_method
Warung Mini,Deltaplein,278,2554GW,'s-Gravenhage,,52.0688186,4.2218444,https://www.warungminikijkduin.nl/,https://www.warungminikijkduin.nl/,200,true,osm,https://www.warungminikijkduin.nl/menukaart/,200,true,header
Pazze e Pizze,Rabbijn Maarsenplein,7,2512HJ,'s-Gravenhage,,52.0759000,4.3141404,https://www.pazzepizze.nl/,https://www.pazzepizze.nl/,200,true,osm,https://www.pazzepizze.nl/contact/foodhall-scheveningen/,200,true,nav
BBQ Paradijs,Hoefkade,795,2525LH,'s-Gravenhage,,52.0630434,4.3016066,,,,false,,,,false,
The Hague Tech,,,,,,52.0791636,4.3419127,,,,false,,,,false,
Orangerie,Bronovolaan,5,2597AX,'s-Gravenhage,NL,52.1014231,4.3181957,,,,false,,,,false,
De Haagsche Beek,Machiel Vrijenhoeklaan,175,2555NA,'s-Gravenhage,,52.0636783,4.2173302,https://www.dehaagschebeek.nl/,https://www.dehaagschebeek.nl/,200,true,osm,https://www.dehaagschebeek.nl/menu/lunch/,200,true,nav
Greens,Kapelweg,18,2587BM,'s-Gravenhage,,52.1062001,4.2905598,https://www.greensinthepark.nl/,https://www.greensinthepark.nl/,200,true,osm,https://www.greensinthepark.nl/een-kunstlunch-is-genieten-van-een-beeldenwandeling-plus-lunch/,200,true,link_text
Sarinandé,Adelheidstraat,53,2595EB,'s-Gravenhage,,52.0837561,4.3306530,https://sarinande.nl/,https://sarinande.nl/,200,true,osm,https://sarinande.nl/ons-menu/,200,true,link_text
Cosy Food Corner,Bezuidenhoutseweg,65,2594AC,'s-Gravenhage,,52.0830463,4.3250006,https://cosyfoodcorner.nl/,https://cosyfoodcorner.nl/,200,true,osm,https://cosyfoodcorner.nl/menu/,200,true,header
Méli,,,,,,52.0820796,4.2994017,,,,false,,,,false,
